Terme anglais;Terme français;Variant anglais;Variant français;Definition anglaise;Définition française;Note anglaise;Note française;Terme lié
BLOOM;BLOOM;BigScience Large Open-science Open-access Multilingual Language Model;;A large language model able to generate text in 46 natural languages and 13 programming languages. (Loterre);Grand modèle de langue capable de générer des textes dans 46 langues naturelles et 13 langage de programmation. (Loterre);;;
BlueBERT;BlueBERT;;;A BERT language model pre-trained on PubMed abstracts and clinical notes (MIMIC-III). (Loterre);Modèle de langue BERT pré-entrainé sur les résumés de PubMed et les notes cliniques (MIMIC-III). (Loterre);;;
Bluima;Bluima;;;A Natural Language Processing toolkit for neuroscience. (Loterre);Boîte à outils de traitement du langage naturel pour les neurosciences. (Loterre);;;
Boltzmann machine;machine de Boltzmann;BM;BM;An RNN architecture with one or more hidden layers, an input or visible layer, and no output layer, that can learn probabilistic distributions on an input dataset and performs classification, regression, and feature learning operations. It is used as a pretraining model in applications that need preliminary data, such as computer vision and image classification. (Adapted from Oğuz et al., Introduction to deep learning and diagnosis in medicine, in Diagnostic Biomedical Signal and Image Processing Applications with Deep Learning Methods, 2023);Type de réseau de neurones stochastique récurrent et de champ aléatoire de Markov dans lequel tous les neurones d'un réseau sont interconnectés. (Data Franca);;;
boolean vector;vecteur booléen;;;;;;;
boosting;boosting;;;An ensemble meta-algorithm for primarily reducing bias and also variance in supervised learning and a family of machine learning algorithms that convert weak learners to strong ones. (Wikipedia);Méta-algorithme, variance dans l'apprentissage supervisé et famille d'algorithmes d'apprentissage automatique qui convertissent les apprenants faibles en apprenants forts. (Wikipédia);;;
borrowing;emprunt;loan word;"mot d'emprunt;mot emprunté9";;;;;
bound pronoun;pronom lié;;;;;;;
BTM;BTM;Biterm Topic Models;;Biterm Topic Models find topics in collections of short texts. It is a word co-occurrence based topic model that learns topics by modeling word-word co-occurrences patterns which are called biterms. (Loterre);BTM (Biterm Topic Models) permet de repérer des topiques dans des collections de textes courts. Il s'agit d'un outil basé sur l'apprentissage de thèmes en utilisant des modèles de cooccurrence de mots qui sont appelés bitermes. (Loterre);;;
byT5;byT5;;;Pre-trained byte-level Transformer models based on the T5 architecture. (Xue et al., 2022);Modèles de transformateur au niveau de l'octet pré-entraînés basés sur l'architecture T5. (source : Xue et al., 2022);;;
Byte Pair Encoding;Byte Pair Encoding;BPE;BPE;;;;;
cadence;cadence;;;;;;;
Calliope;Calliope;;;A trend analysis and text mining software. (Loterre);Logiciel d'analyse de tendances et de fouille de textes. (Loterre);;;
calque;calque;loan translation;calque sémantique;;;;;
CamemBERT;CamemBERT;;;A language model for French that uses the RoBERTa achitecture. (Loterre);Modèle de langue pour le Français qui utilise l'architecture RoBERTa. (Loterre);;;
CANINE;CANINE;;;A neural encoder that operates directly on character sequences””without explicit tokenization or vocabulary””and a pre-training strategy that operates either directly on characters or optionally uses subwords as a soft inductive bias. (Clark et al., 2021).;Encodeur neuronal qui opère directement sur des séquences de caractères, sans tokenisation explicite ni vocabulaire, et intègre une stratégie de pré-entraînement qui opère soit directement sur les caractères, soit utilise éventuellement des sous-mots comme biais inductif léger. (Clark et al., 2021);;;
capsule neural network;réseau neuronal à capsules;CapsNet;CapsNet;A type of neural network that imitates biological neural organization by using \capsule\ which is a group of neurons representing parameters of an object or an object part. (Adapted from Khikmatullaev et al., Capsule Neural Networks for Text Classification (thesis), 2019);Type de réseau de neurones artificiels du domaine de l'apprentissage automatique dont l'architecture est basée sur celle d'un réseau neuronal convolutif et dont l'objectif principal est l'étude, la compréhension et la classification d'images. (Adapté de Wikipédia);;;
cardinal numeral;numéral cardinal;cardinal number;;;;;;
case grammar;grammaire des cas;;grammaire de cas;;;;;
case morpheme;morphème casuel;;;;;;;
cataphora;cataphore;;;;;;;
catastrophic forgetting;oubli catastrophique;catastrophic interference;;The tendency of an artificial neural network to abruptly and drastically forget previously learned information upon learning new information. (Wikipedia);Tendance d'un modèle de langue à oublier soudainement des informations importantes qu'il avait précédemment apprises, en général lorsqu'il est exposé à de nouvelles données différentes de celles sur lesquelles il a été entrainé, ce qui dégrade sa performance de manière significative.;;;
categorial grammar;grammaire catégorielle;;;;;;;
categorial projection;projection catégorielle;;;;;;;
categorization;catégorisation;categorisation;;The establishment of a set of classificatory units or properties used in the description of language, which have the same basic distribution, and which occur as a structural unit throughout the language. (A dictionary of linguistics and phonetics, David Crystal, 2008);Opération consistant, après avoir analysé la chaîne parlée en éléments discontinus, à classer ces segments en catégories grammaticales ou lexicales selon les propriétés distributionnelles qu’ils possèdent. (Dubois et al., Dictionnaire de linguistique, 1994);;;
causative;causatif;;;;;;;
character string;chaîne de caractères;;;;;;;
character-level machine translation;traduction automatique au niveau des caractères;character-level MT;TA au niveau des caractères;;;;;
checking theory;théorie de la vérification des traits;;;;;;;
Chemicalize;Chemicalize;;;A powerful online platform for chemical calculations, search, and text processing. (Loterre);Plateforme en ligne pour les calculs chimiques, la recherche et le traitement de texte. (Loterre);;;
chunking;chunking;"light parsing;shallow parsing";;The task/process of dividing a sentence into chunks (non-overlapping text segments consisting of a head and preceding function words and/or modifiers). (Loterre);Tâche/processus consistant à diviser une phrase en chunks (segments de texte ne se chevauchant pas, composés d'une tête et de mots de fonction et/ou de modificateurs précédents). (Loterre);;;
class;classe;;;A category that a label can belong to and which can be predicted by a classification model. (Adapted from Google for Developers, Machine Learning Glossary);Un des ensembles de valeurs cibles énumérées pour une étiquette et qui est prédite par un modèle de classification. (Adapté de Data Franca);;;
classification accuracy;précision de la classification;;;;;;;
classification algorithm;algorithme de classification;"categorisation algorithm;categorization algorithm";algorithme de catégorisation;Supervised learning algorithm from labeled data. (Loterre);Algorithme d'apprentissage supervisé à partir de données étiquetées. (Loterre);;;
classification model;modèle de classification;unsupervised learning model;modèle d'apprentissage non supervisé;A machine learning model which focuses on identifying groups of similar records and labeling the records according to the group to which they belong without the benefit of prior knowledge about the groups and their characteristics. (Adapted from ibm.com);Type de modèle d'apprentissage automatique permettant de différencier deux classes discrètes ou plus. (Data Franca);;;
classification;classification;;;The task of assigning predefined categories or labels to documents or pieces of text based on their content or characteristics.;Méthode de catégorisation qui consiste à attribuer une classe ou catégorie à une entrée qui lui est soumise en fonction de sa proximité à la classe en question selon des critères bien choisis. (CNIL);;;
